image_id,X,Y,Width,Height,English Text,Hindi Text,P_TYPE
11,45,30,545.0,436,it is an indoor scene,यह एक इनडोर दृश्य है,train
17,306,239,189.0,94,Computer screens turned on,कंप्यूटर स्क्रीन चालू,train
18,664,241,93.0,126,man has short hair,आदमी के छोटे बाल हैं,train
21,1,113,120.0,138,photo album open on an adult's lap,एक वयस्क की गोद में फोटो एल्बम खुला,train
23,105,178,148.0,209,there is a group of girls beside the black car,काली कार के पास लड़कियों का एक समूह है,train
25,106,357,41.0,33,Child in a stroller,एक घुमक्कड़ में बच्चा,train
26,416,217,80.0,285,Tall metal lightpost,लंबा धातु प्रकाश पोस्ट,train
27,158,210,112.0,51,wall is painted white,दीवार सफेद रंग की है,train
28,19,18,772.0,339,there are several pictures on the wall,दीवार पर कई चित्र हैं,train
29,664,212,70.0,176,woman facing the ocean,सागर का सामना कर रही महिला,train
35,28,4,760.0,589,this is an office layout,यह एक कार्यालय लेआउट है,train
38,175,453,604.0,290,four metallic chairs,चार धातु की कुर्सियाँ,train
39,478,227,225.0,77,Clutter is on a table,क्लटर एक मेज पर है,train
41,368,244,329.0,225,a white microwave oven,एक सफेद माइक्रोवेव ओवन,train
45,546,222,229.0,158,White SUV driving through intersection,चौराहे के माध्यम से सफेद एसयूवी ड्राइविंग,train
47,500,278,150.0,153,Person crossing street with umbrella,छतरी के साथ सड़क पार करते व्यक्ति,train
58,603,305,75.0,178,man in gray pants leaning on building,इमारत पर झुकाव में आदमी ग्रे पैंट में,train
62,443,14,37.0,49,window on the building,भवन पर खिड़की,train
65,360,57,145.0,169,A man standing in between cars,कारों के बीच में खड़ा एक आदमी,train
70,49,24,130.0,184,painting hanging on wall,दीवार पर चित्रकला,train
73,616,430,41.0,73,leg of the chair,कुर्सी का पैर,train
75,7,23,54.0,39,window of a boat,एक नाव की खिड़की,train
80,153,0,38.0,85,the cabinet is wood,कैबिनेट लकड़ी है,train
86,389,37,146.0,333,a man reading a book,एक आदमी एक किताब पढ़ रहा है,train
87,476,379,45.0,30,A person swimming in water,पानी में तैरता हुआ व्यक्ति,train
88,256,127,28.0,44,lamp with glowing shade,चमकती छाया के साथ दीपक,train
92,201,190,33.0,10,fruit on the plate,प्लेट पर फल,train
95,46,207,306.0,281,A porcelain white plate,एक चीनी मिट्टी के बरतन सफ़ेद प्लेट,train
100,190,257,110.0,71,black game controller,काला खेल नियंत्रक,train
101,368,326,85.0,145,A person putting something in the trunk of the car.,कार की डिक्की में कुछ डालने वाला व्यक्ति।,train
103,689,363,109.0,178,Green car parked along a street,एक सड़क के साथ ग्रीन कार पार्क किया,train
105,331,182,179.0,138,car on the street,गली पर कार,train
106,217,317,72.0,174,construction worker wearing coveralls,निर्माण कर्मचारी कवरलेस पहनते हैं,train
108,610,321,170.0,73,a black car with a yellow door,पीले दरवाजे के साथ एक काली कार,train
110,586,483,161.0,105,chair at the table,मेज पर कुर्सी,train
111,272,241,170.0,193,a navel orange on a counter,एक काउंटर पर एक नारंगी संतरा,train
113,64,81,122.0,85,Three windows of a building,एक इमारत की तीन खिड़कियां,train
116,73,210,113.0,193,window on a building,इमारत पर खिडकि,train
119,191,285,397.0,310,Brown table standing on top of a floor.,भूरे रंग की मेज एक मंजिल के ऊपर खड़ी है।,train
120,419,183,69.0,195,floor lamp is on,फ्लोर लैंप चालू है,train
126,128,204,141.0,108,A yellow bus,एक पीली बस,train
130,154,18,132.0,139,branch of the tree,वृक्ष की शाखा,train
136,713,502,85.0,93,Cement bench outside the building,भवन के बाहर सीमेंट की बेंच,train
141,460,472,24.0,123,thick black pole with a white stripe,एक सफेद पट्टी के साथ मोटी काली पोल,train
142,351,351,91.0,49,a wooden park bench,लकड़ी पार्क बेंच,train
153,324,404,48.0,74,a cup,एक कप,train
156,314,42,67.0,109,man has brown hair,आदमी के भूरे बाल हैं,train
157,48,255,64.0,54,grass in a field,एक खेत में घास,train
161,173,0,158.0,621,A large brown tree trunk,एक बड़ा भूरा पेड़ का तना,train
166,171,345,137.0,18,silver car in front of a building,इमारत के सामने चांदी कार,train
170,539,248,116.0,198,man sits at counter,आदमी काउंटर पर बैठता है,train
173,257,81,70.0,245,woman standing at a book cart,किताब की गाड़ी पर खड़ी महिला,train
175,438,163,346.0,354,two story blue bus,दो कहानी नीली बस,train
179,91,198,64.0,88,a gray laundry basket,एक ग्रे कपड़े धोने की टोकरी,train
181,3,302,74.0,35,The yellow construction hats,पीले रंग की निर्माण टोपी,train
187,3,593,636.0,205,wooden floor in the room,कमरे में लकड़ी का फर्श,train
188,337,92,115.0,278,A tall palm tree above the horizon,क्षितिज के ऊपर एक लंबा ताड़ का पेड़,train
193,0,403,106.0,74,chair inside an auditorium,एक सभागार के अंदर कुर्सी,train
194,127,0,375.0,310,a tall leafy tree,एक लंबा पत्ते का पेड़,train
196,56,384,48.0,30,mirror is on far wall,दर्पण दूर की दीवार पर है,train
197,173,450,83.0,41,the sidewalk,फ़ुटपाथ,train
198,286,200,77.0,42,The driver's side door is open,ड्राइवर के बगल का द्वार खुला है,train
200,7,76,356.0,220,A plate full of food,भोजन से भरी थाली,train
206,48,181,542.0,302,the building is white,इमारत सफेद है,train
209,380,238,84.0,74,small picture on wall,दीवार पर छोटी सी तस्वीर,train
211,102,90,70.0,134,intersection of wooden logs,लकड़ी के लॉग का चौराहे,train
214,210,276,162.0,109,light attached to building,इमारत से संबद्ध प्रकाश,train
215,405,24,133.0,125,Do Not Enter sign,साइन न करें,train
216,173,215,53.0,46,colorful pillow of blues and reds on a white striped couch,सफेद धारीदार सोफे पर ब्लूज़ और रेड्स का रंगीन तकिया,train
218,721,520,72.0,72,dent is in the vehicle,डेंट वाहन में है,train
221,132,123,28.0,16,the roof is grey,छत ग्रे है,train
223,208,104,135.0,200,brown frame on mirror,दर्पण पर भूरे रंग का फ्रेम,train
226,182,379,518.0,132,white flowers beneath tree,पेड़ के नीचे सफेद फूल,train
227,25,456,171.0,104,white ambulance on the street,सड़क पर सफेद एम्बुलेंस,train
234,137,126,614.0,345,green trees in distance,दूरी में हरे पेड़,train
236,685,153,112.0,277,The sign is blue,यह चिह्न नीला है,train
243,406,103,31.0,51,Man sitting off to side of road,सड़क के किनारे बैठा आदमी,train
248,340,538,74.0,180,a man crossing the street,सड़क पार करने वाला एक आदमी,train
254,378,50,123.0,66,sign on the wall,दीवार पर साइन इन करें,train
263,26,97,32.0,60,window in a brick house,एक ईंट के घर में खिड़की,train
268,389,148,99.0,160,The computer screen is blue,कंप्यूटर की स्क्रीन नीली है,train
276,420,66,118.0,186,bike route sign,बाइक मार्ग का चिह्न,train
277,278,383,10.0,34,Grey Beard Hair on a man,एक आदमी पर ग्रे दाढ़ी बाल,train
284,308,697,145.0,101,the rear view of a car,कार का पिछला दृश्य,train
286,161,127,250.0,232,Burger with cheese sauce,पनीर सॉस के साथ बर्गर,train
294,4,185,275.0,405,side of thee silver SUV,रजत एसयूवी की ओर,train
303,84,389,67.0,133,Woman walking across street,सड़क पर घूमती हुई महिला,train
304,714,375,49.0,110,woman wearing pink jacket,गुलाबी जैकेट पहने महिला,train
307,130,345,196.0,78,red car parked by street light,गली की बत्ती से के पास खड़ी लाल कार,train
323,249,72,346.0,230,the traffic lights are yellow,ट्रैफिक लाइट पीले हैं,train
325,282,405,267.0,25,White painted line on pavement,फुटपाथ पर सफेद रंग की लाइन,train
331,84,389,53.0,28,The black tipped pen on the desk,मेज पर काले रंग की कलम,train
343,252,193,72.0,229,Man in white shirt walking down the sidewalk,सफेद शर्ट में आदमी फुटपाथ के नीचे चल रहा है,train
348,0,1,797.0,195,large light fixture in ceiling,छत में बड़ा प्रकाश आकार,train
371,0,96,214.0,244,white monitor on desk,सफेद मॉनिटर डेस्क पर,train
374,182,104,329.0,282,black computer monitor on desk,डेस्क पर ब्लैक कंप्यूटर मॉनिटर,train
375,436,217,89.0,148,handle on the mug,मग पर संभाल,train
384,76,75,619.0,373,a man sitting in front of a computer monitor,कंप्यूटर मॉनिटर के सामने बैठा आदमी,train
390,335,43,262.0,298,Turned on black monitor,ब्लैक मॉनीटर पर दिया,train
396,123,89,90.0,201,Man wearing brown sunglasses.,आदमी भूरा धूप का चश्मा पहने हुए।,train
401,165,167,45.0,56,brick on the building,इमारत पर ईंट,train
402,110,483,141.0,115,silver metal table on ground,जमीन पर धातु तालिका,train
403,192,424,92.0,94,A grey trash bin.,एक ग्रे कचरा बिन।,train
412,114,173,104.0,80,boy holding ball,बॉल पकड़े हुए लड़का,train
