bleu_main,bleu_comb,Train_Loss,Val_Loss
1.8,31.6/6.3/0.4/0.2,4.751420274376869,4.083930015563965
6.15,40.1/13.8/3.2/1.1,3.740917816758156,3.4222805500030518
10.58,46.2/19.1/6.5/3.1,3.1868958047458102,2.9686012268066406
13.89,49.4/23.0/9.4/4.4,2.805431136063167,2.6271016597747803
17.47,53.2/27.2/12.8/6.5,2.530484120760645,2.3484232425689697
18.61,53.5/28.2/13.3/6.5,2.3109561183622906,2.296128273010254
20.39,55.4/29.7/14.9/7.6,2.1378051808902194,2.0560216903686523
21.43,56.0/30.9/15.4/8.1,1.984773070684501,1.9703813791275024
23.56,57.9/33.3/17.9/9.9,1.853406666644982,2.015298843383789
25.23,58.0/34.2/19.1/11.1,1.7429349784340178,1.759839653968811
25.09,58.4/34.3/19.4/10.6,1.6437438343252455,1.5625946521759033
27.38,59.6/36.1/21.2/12.7,1.552236599581582,1.4903020858764648
27.16,59.5/36.2/21.0/12.0,1.469499325113637,1.477887511253357
27.61,60.1/36.7/21.6/12.5,1.3993625885673933,1.3149737119674683
28.38,60.9/37.6/22.1/13.0,1.3309147102492196,1.2794204950332642
28.85,60.9/37.6/22.4/13.6,1.2736750968864985,1.32656991481781
29.59,61.6/38.5/23.0/14.1,1.218161760696343,1.311853289604187
28.93,60.5/38.0/22.8/13.4,1.1626583582588605,1.2744098901748657
29.43,60.5/37.9/22.9/14.3,1.1200260200670786,1.2573418617248535
31.49,62.8/40.2/25.0/15.6,1.072446458041668,1.1260706186294556
30.77,62.2/39.3/24.3/15.1,1.0259119884244032,1.0513213872909546
30.8,61.9/39.4/24.6/15.0,0.9919414200953075,1.0122089385986328
32.35,62.9/40.7/25.8/16.6,0.9517966056508678,1.0121487379074097
31.08,62.2/39.9/24.9/15.1,0.9207736743347985,1.0493333339691162
32.42,62.5/40.6/26.1/16.7,0.8890171929129532,0.9069490432739258
32.54,62.9/40.8/26.2/16.7,0.8570460799549308,0.8696517944335938
32.72,62.6/41.0/26.4/16.9,0.826507535896131,0.8137237429618835
31.92,62.7/40.4/25.7/15.9,0.797613836824894,0.7692937850952148
32.45,62.2/40.6/26.5/16.6,0.7749853033040252,0.9375478029251099
33.18,62.9/41.6/26.9/17.3,0.7431600253496852,0.697930634021759
34.67,63.8/42.9/28.5/18.6,0.7246364674397877,0.7555996179580688
33.42,63.2/41.6/27.2/17.5,0.702601035790784,0.7100391387939453
34.22,63.9/42.2/27.8/18.3,0.6794436547373023,0.7681937217712402
33.42,63.4/41.9/27.2/17.3,0.662789594914232,0.6713215708732605
34.05,63.6/42.0/27.6/18.2,0.6407941952347755,0.6207359433174133
33.78,63.0/41.6/27.4/18.1,0.619906768734966,0.6273279190063477
34.43,63.8/42.3/28.0/18.6,0.6028742901980877,0.6235547661781311
33.44,63.2/41.2/27.4/17.5,0.5820950916303056,0.616536021232605
33.81,63.7/41.7/27.5/17.8,0.5722384945090327,0.5578893423080444
33.83,63.6/41.6/27.5/18.0,0.55472625605762,0.5784963965415955
